location,latitude,longitude,urbanization_index,industry_density,avg_pm25,source,risk_score
Gulf of Mexico,27.8493,-82.4314,0.2,0.1,5.8,Marine,0.1202
Gulf of Mexico,27.7084,-82.6092,0.2,0.1,0.0,Marine,0.12
Gulf of Mexico,27.7084,-82.6092,0.2,0.1,3.4,Marine,0.1201
Caribbean Sea,17.11,-77.03,0.2,0.1,0.0027,Marine,0.12
Caribbean Sea,16.24,-81.2,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.72,-83.78,0.2,0.1,0.00432,Marine,0.12
Caribbean Sea,17.66,-86.0,0.2,0.1,0.02376,Marine,0.12
Caribbean Sea,14.47,-62.6,0.2,0.1,0.00648,Marine,0.12
North Sea,55.9465,-2.1475,0.2,0.1,0.042147,Marine,0.12
Kattegat,56.376517,10.94445,0.2,0.1,0.024366,Marine,0.12
Mediterranean Sea,42.9385,6.343833,0.2,0.1,0.236481,Marine,0.12
Mediterranean Sea,43.168167,10.2515,0.2,0.1,0.813379,Marine,0.12
English Channel,50.402217,1.145633,0.2,0.1,0.114039,Marine,0.12
North Sea,56.288167,-2.501667,0.2,0.1,0.034858,Marine,0.12
Inner Seas off the West Coast of Scotland,56.125,-4.826833,0.2,0.1,0.0,Marine,0.12
Inner Seas off the West Coast of Scotland,55.729,-4.9895,0.2,0.1,0.053303,Marine,0.12
Gulf of St. Lawrence,47.1,-56.07,0.2,0.1,0.0054,Marine,0.12
Mediterranean Sea,38.864,12.6117,0.2,0.1,0.106896,Marine,0.12
Mediterranean Sea,41.403637,2.2193,0.2,0.1,2.192667,Marine,0.1201
Mediterranean Sea,41.314,2.2465,0.2,0.1,2.505023,Marine,0.1201
New York Bight,39.0,-73.45,0.2,0.1,0.00432,Marine,0.12
Gulf of Mexico,27.855567,-82.392267,0.2,0.1,720.0,Marine,0.1406
Gulf of Mexico,27.6934,-82.5559,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,11.83,-60.83,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,18.15,-74.89,0.2,0.1,0.00216,Marine,0.12
Caribbean Sea,16.37,-76.65,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.37,-85.58,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,18.24,-76.4,0.2,0.1,0.00216,Marine,0.12
Mediterranean Sea,32.059167,34.748333,0.2,0.1,0.812937,Marine,0.12
Mediterranean Sea,37.9,24.7,0.2,0.1,0.29,Marine,0.12
North Sea,56.313667,-2.5485,0.2,0.1,0.0,Marine,0.12
North Sea,56.112167,-2.881667,0.2,0.1,0.341743,Marine,0.12
North Sea,56.1505,-2.3865,0.2,0.1,0.066437,Marine,0.12
Baltic Sea,54.86375,12.305633,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,42.106833,15.615167,0.2,0.1,1.603376,Marine,0.12
Mediterranean Sea,38.5046,16.8681,0.2,0.1,0.007,Marine,0.12
Mediterranean Sea,38.013,12.087667,0.2,0.1,0.184805,Marine,0.12
Mediterranean Sea,38.5445,9.82533,0.2,0.1,2.179487,Marine,0.1201
Mediterranean Sea,41.397303,2.21315,0.2,0.1,0.177333,Marine,0.12
Gulf of California,27.916643,-110.775325,0.2,0.1,705.218618,Marine,0.1401
Caribbean Sea,18.5,-74.83,0.2,0.1,0.056156,Marine,0.12
Caribbean Sea,13.62,-62.89,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,14.77,-71.25,0.2,0.1,0.028796,Marine,0.12
Caribbean Sea,16.68,-62.0,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,14.18,-60.75,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.21,-77.51,0.2,0.1,0.025196,Marine,0.12
Mediterranean Sea,31.7495,34.5525,0.2,0.1,4.676409,Marine,0.1201
Papahanaumokuakea Marine National Monument,26.8,-166.54,0.2,0.1,0.35514,Marine,0.12
Inner Seas off the West Coast of Scotland,56.01595,-4.894333,0.2,0.1,0.0,Marine,0.12
Bay of Biscay,47.481167,-3.081333,0.2,0.1,0.003961,Marine,0.12
North Sea,51.807883,3.639867,0.2,0.1,0.021685,Marine,0.12
Gulf of Alaska,60.3735,-146.2318,0.2,0.1,0.011,Marine,0.12
Inner Seas off the West Coast of Scotland,57.793333,-6.724833,0.2,0.1,0.039852,Marine,0.12
Mediterranean Sea,39.668,20.019,0.2,0.1,4.26,Marine,0.1201
Mediterranean Sea,41.038,17.866833,0.2,0.1,0.996134,Marine,0.12
Gulf of California,31.680124,-114.495158,0.2,0.1,2820.874471,Marine,0.2006
Gulf of Mexico,24.53,-83.35,0.2,0.1,0.0,Marine,0.12
Gulf of Mexico,27.61,-82.7832,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,14.1167,-60.9167,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,13.35,-59.86,0.2,0.1,0.0043,Marine,0.12
Caribbean Sea,12.57,-61.64,0.2,0.1,0.01512,Marine,0.12
Caribbean Sea,10.758064,-61.436573,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.58,-82.21,0.2,0.1,0.00432,Marine,0.12
Caribbean Sea,15.16,-72.99,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.42,-63.15,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,15.87,-63.85,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.0115,-61.7824,0.2,0.1,0.005,Marine,0.12
Caribbean Sea,17.97,-75.4,0.2,0.1,0.043196,Marine,0.12
Caribbean Sea,16.58,-75.43,0.2,0.1,0.00216,Marine,0.12
Caribbean Sea,16.87,-84.33,0.2,0.1,0.0,Marine,0.12
Gulf of St. Lawrence,48.363,-70.643,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,42.70145,9.558117,0.2,0.1,0.335363,Marine,0.12
